resource,duration_ms,run,n_samples,median,p95,p99,mean,gt1_1,gt1_2,gt1_5,max
L2,25,l2_25ms_r1.csv,20,1.7927381125356538,2.2975793736522814,2.3136761847536094,1.840771479881333,1.0,1.0,1.0,2.3177003875289413
L2,25,l2_25ms_r1.csv,100,0.9984871289392853,1.0303327944028369,1.0514371654568118,0.994385365002733,0.0,0.0,0.0,1.0514371654568118
Compute,100,compute_100ms_24b_r2.csv,67,2.4659250010463216,3.0833566552634095,3.1748049402612777,2.518282252061211,1.0,1.0,0.9850746268656716,3.212441721001312
Compute,100,compute_100ms_24b_r2.csv,100,1.0005399442188367,1.0420131170780556,1.0472145814295657,0.998123404526454,0.0,0.0,0.0,1.0489253626184916
L2,5,l2_5ms_r1.csv,4,2.0400682004840425,2.377443426437064,2.4245843005774055,2.1205424101825985,1.0,1.0,1.0,2.436369519112491
L2,5,l2_5ms_r1.csv,100,1.0001351648918702,1.0364723314203372,1.0520625916382487,1.000103303240482,0.0,0.0,0.0,1.0537756393668645
Memory,50,experiment0_50ms_run2.csv,82,0.9602763358230534,1.338342040214693,1.7821244616793956,1.0172922406633864,0.08536585365853659,0.08536585365853659,0.036585365853658534,1.8031089045070867
Memory,50,experiment0_50ms_run2.csv,100,0.9998111506860685,1.038169246162124,1.0431779209973906,1.0000761298290797,0.0,0.0,0.0,1.0431779209973906
Compute,50,compute_50ms_24b_r1.csv,34,2.3531952472236766,3.152504325358182,3.2423834596383716,2.4724169645530862,1.0,1.0,0.9705882352941176,3.243523364389118
Compute,50,compute_50ms_24b_r1.csv,100,1.0,1.0414507917438505,1.0496918812664926,0.9960514076680752,0.0,0.0,0.0,1.0587219797077898
Memory,10,experiment0_10ms_run3.csv,16,0.9594127711962832,1.5526770302720132,1.7392055091248424,1.0538644430186181,0.125,0.125,0.0625,1.78583762883805
Memory,10,experiment0_10ms_run3.csv,100,1.0,1.038169246162124,1.0466494491103697,1.0010357580512206,0.0,0.0,0.0,1.0483593070713746
Memory,50,experiment0_50ms_run5.csv,82,0.9617556896013697,1.3549338649022014,1.7787810506447401,1.0187539528270193,0.08536585365853659,0.08536585365853659,0.036585365853658534,1.788588801125782
Memory,50,experiment0_50ms_run5.csv,100,1.0015405500720254,1.036309114190187,1.0482926759960225,1.00185464121088,0.0,0.0,0.0,1.0530554572214421
Memory,100,experiment0_100ms_run5.csv,100,0.961184167366468,1.350325511450132,1.7806802236917565,1.0138591604661191,0.09,0.08,0.03,1.7875259342459786
Memory,100,experiment0_100ms_run5.csv,100,1.0009453857286157,1.0424353644594206,1.0581324199071684,1.0028562193296646,0.0,0.0,0.0,1.0718241117741014
Memory,50,experiment0_50ms_run3.csv,83,0.9602763358230534,1.3690846631386784,1.7900172412198068,1.0160850837779944,0.08433734939759036,0.08433734939759036,0.03614457831325301,1.8169257462588486
Memory,50,experiment0_50ms_run3.csv,100,1.0,1.0334494393649842,1.050103606419261,1.000653636269775,0.0,0.0,0.0,1.0518134643802657
Memory,5,experiment0_5ms_run3.csv,8,0.9594127711962832,1.4584628905861114,1.6194991518115947,1.0623920534729208,0.125,0.125,0.125,1.6597582171179655
Memory,5,experiment0_5ms_run3.csv,100,1.0015112870093057,1.0414507917438505,1.0519516336917007,1.0010416943032598,0.0,0.0,0.0,1.0656303955237612
Compute,100,compute_100ms_24b_r1.csv,61,2.6945913963729886,3.2110546583366872,3.495023286352666,2.7687238058898878,1.0,0.9836065573770492,0.9836065573770492,3.5012416207310704
Compute,100,compute_100ms_24b_r1.csv,100,1.000107932770343,1.034740402735919,1.05192698952136,0.9988707792070447,0.0,0.0,0.0,1.05192698952136
Compute,25,compute_25ms_24b_r1.csv,15,2.697231933655139,3.494636837486225,3.4975434337551006,2.8207613369290043,1.0,1.0,1.0,3.4982700828223194
Compute,25,compute_25ms_24b_r1.csv,100,1.0013787052465908,1.0364187615525509,1.0450487012160063,0.9988387096421021,0.0,0.0,0.0,1.0515787369335108
Memory,25,experiment0_25ms_run1.csv,36,0.9667673807508278,1.7160121121546492,1.7662387007731792,1.0365947367910766,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.7688821640937324
Memory,25,experiment0_25ms_run1.csv,100,0.9986311093678405,1.0308912950832454,1.0483837040944948,1.0002063271586925,0.0,0.0,0.0,1.052870144137208
L2,50,l2_50ms_r1.csv,42,1.782477434000098,2.18655592734691,2.3695317582974793,1.7572651940158717,1.0,1.0,0.9523809523809523,2.466767429431438
L2,50,l2_50ms_r1.csv,100,0.9980882475484416,1.037915433980201,1.048398809938473,0.9940464861409491,0.0,0.0,0.0,1.054380728535005
